timestamp,msg,proto,src,srcport,dst,dstport,ethsrc,ethdst,ethlen,tcpflags,tcpseq,tcpack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmpcode,icmpid,icmpseq
05/13-03:24:22.843126 ,SCAN UPnP service discover attempt,UDP,113.251.164.233,52479.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,74:5A:AA:C0:DA:F3,0xE0,,,,,,1,0,31937,202,206848,,,,
05/13-03:24:22.843131 ,SCAN UPnP service discover attempt,UDP,172.18.62.176,52481.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,31803,202,206848,,,,
05/13-03:24:24.231617 ,ICMP Time-To-Live Exceeded in Transit,ICMP,202.146.251.109,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,51,0,45306,80,81920,11.0,0.0,0.0,0.0
05/13-03:24:28.942354 ,ICMP Time-To-Live Exceeded in Transit,ICMP,212.174.242.94,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,50,0,37368,80,81920,11.0,0.0,0.0,0.0
05/13-03:24:29.927508 ,ICMP Destination Unreachable Host Unreachable,ICMP,152.255.133.129,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x76,,,,,,241,0,54971,96,98304,3.0,1.0,17.0,0.0
05/13-03:24:31.934516 ,ICMP Time-To-Live Exceeded in Transit,ICMP,212.174.242.94,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,50,0,37369,80,81920,11.0,0.0,0.0,0.0
05/13-03:24:32.105823 ,BAD-TRAFFIC 0 ttl,,fe80::ad:8a8a:b737:beea,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:24:32.105823 ,BAD-TRAFFIC 0 ttl,,fe80::ad:8a8a:b737:beea,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:24:32.105823 ,BAD-TRAFFIC same SRC/DST,,fe80::ad:8a8a:b737:beea,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:24:34.039951 ,ICMP Time-To-Live Exceeded in Transit,ICMP,209.117.129.237,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,239,0,0,56,57344,11.0,0.0,0.0,0.0
05/13-03:24:34.391232 ,ICMP Time-To-Live Exceeded in Transit,ICMP,201.20.82.21,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x76,,,,,,239,40,27018,96,98304,11.0,0.0,17.0,0.0
05/13-03:24:37.029098 ,ICMP Time-To-Live Exceeded in Transit,ICMP,209.117.129.237,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,239,0,0,56,57344,11.0,0.0,0.0,0.0
05/13-03:24:37.383527 ,ICMP Time-To-Live Exceeded in Transit,ICMP,201.20.82.21,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x76,,,,,,239,40,27171,96,98304,11.0,0.0,17.0,0.0
05/13-03:24:38.660166 ,ICMP Destination Unreachable Port Unreachable,ICMP,119.134.174.194,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,249,0,0,56,57344,3.0,3.0,0.0,0.0
05/13-03:24:40.308068 ,ICMP Destination Unreachable Network Unreachable,ICMP,212.204.90.110,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,46,0,22128,56,57344,3.0,0.0,0.0,0.0
05/13-03:24:41.605086 ,ICMP Destination Unreachable Host Unreachable,ICMP,202.128.2.98,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,50,0,29636,80,81920,3.0,1.0,0.0,0.0
